IDDSI	etiqueta	t_inicio	t_final
0	E0	3.967	4.533
0	E1	4.167	
0	E2	4.467	
0	E3	5.667	
0	E4	4.533	
0	E5	4.833	
0	E6	4.267	
0	E7	4.633	
2	E0	2.567	2.833
2	E1	2.667	
2	E2	2.933	
2	E3	3.5	
2	E4	2.867	
2	E5	3.133	
2	E6	2.7	
2	E7	3.167	
4	E0	7.1	7.867
4	E1	7.733	
4	E2	8.167	
4	E3	8.6	
4	E4	7.9	
4	E5	8.233	
4	E6	7.833	
4	E7	8.2	
