IDDSI	etiqueta	t_inicio	t_final
0	E0	5.567	5.9
0	E1	5.633	
0	E2	6.233	
0	E3	6.7	
0	E4	6.133	
0	E5	6.333	
0	E6	5.767	
0	E7	6.3	
2	E0	5.333	5.6
2	E1	5.333	
2	E2	5.833	
2	E3	6.4	
2	E4	5.8	
2	E5	5.967	
2	E6	5.533	
2	E7	6.033	
4	E0	6.133	6.367
4	E1	6.1	
4	E2	6.5	
4	E3	7.133	
4	E4	6.467	
4	E5	6.667	
4	E6	6.3	
4	E7	6.9	
