IDDSI	etiqueta	t_inicio	t_final
0	E0	5.967	6.3
0	E1	5.933	
0	E2	6.367	
0	E3	6.767	
0	E4	6.3	
0	E5	6.6	
0	E6	6.067	
0	E7	6.533	
2	E0	5.867	6.2
2	E1	5.867	
2	E2	6.3	
2	E3	7.333	
2	E4	6.267	
2	E5	6.5	
2	E6		
2	E7		
4	E0	6.633	7.233
4	E1	6.833	
4	E2	7.167	
4	E3	7.733	
4	E4	7.133	
4	E5	7.467	
4	E6	7.0	
4	E7	7.5	
