IDDSI	etiqueta	t_inicio	t_final
0	E0	4.067	5.6
0	E1	4.067	
0	E2	5.633	
0	E3	6.9	
0	E4	5.567	
0	E5	6.0	
0	E6	4.2	
0	E7	5.7	
2	E0	5.133	5.467
2	E1	5.067	
2	E2	5.533	
2	E3	6.867	
2	E4	5.433	
2	E5	5.867	
2	E6	5.233	
2	E7	5.767	
4	E0	4.667	5.0
4	E1	4.733	
4	E2	5.167	
4	E3	6.133	
4	E4	4.833	
4	E5	5.367	
4	E6	4.867	
4	E7	5.367		
