IDDSI	etiqueta	t_inicio	t_final
0	E0	4.967	5.267
0	E1	5.033	
0	E2	5.4	
0	E3	5.9	
0	E4	5.1	
0	E5	5.6	
0	E6	5.1	
0	E7	5.533	
2	E0	6.333	6.6
2	E1	6.333	
2	E2	6.6	
2	E3	7.4	
2	E4	6.533	
2	E5	6.9	
2	E6	6.433	
2	E7	6.767	
4	E0	5.533	5.8
4	E1	5.533	
4	E2	5.833	
4	E3	6.433	
4	E4	5.8	
4	E5	6.067	
4	E6	5.7	
4	E7	6.1	
