IDDSI	etiqueta	t_inicio	t_final
0	E0	5.133	5.667
0	E1	5.367	
0	E2	5.9	
0	E3	7.1	
0	E4	5.967	
0	E5	6.3	
0	E6	5.4	
0	E7	6.133	
2	E0	2.533	3.167
2	E1	2.867	
2	E2	3.1	
2	E3	4.1	
2	E4	3.433	
2	E5	3.767	
2	E6	2.933	
2	E7	3.567	
4	E0	3.533	
4	E1	3.5	
4	E2	3.933	
4	E3	5.033	
4	E4	3.9	
4	E5	4.333	
4	E6	3.7	
4	E7	4.2	
