IDDSI	etiqueta	t_inicio	t_final
0	E0	6.4	6.733
0	E1	6.433	
0	E2	6.633	
0	E3	7.233	
0	E4	6.667	
0	E5	7.1	
0	E6	6.5	
0	E7	7.167	
2	E0	5.5	5.833
2	E1	5.467	
2	E2	5.733	
2	E3	6.5	
2	E4	5.833	
2	E5	6.133	
2	E6	5.633	
2	E7	6.167	
4	E0	5.967	6.5
4	E1	6.133	
4	E2	6.267	
4	E3	7.667	
4	E4	6.3	
4	E5	6.7	
4	E6	6.267	
4	E7	6.8	
