feature_ID,Z_statistic,p_value,median_pacientes,median_sanos,mean_pacientes,mean_sanos,significativo_0_05
16,5.376897866677191,7.578013091848868e-08,0.203040580625377,0.1223896414788037,0.2873729097578948,0.1147972398376452,True
123,4.309590366869709,1.635572162769644e-05,0.08709819945936766,0.04792053620471357,0.1898341205495267,0.05991194071650961,True
35,-4.188509263950372,2.80792850362477e-05,0.3927184135204638,0.5926885042326586,0.3696316177575088,0.6347512270799818,True
117,4.139179925723976,3.485495162127271e-05,0.0986968584582642,0.05404387804751003,0.1903059717422445,0.06407120473940944,True
24,4.022583308097948,5.756328369396716e-05,0.08464111777811066,0.04560828100094557,0.1448342186657781,0.05329471497591472,True
129,4.013614337511331,5.97960169745757e-05,0.068522618269123,0.03883662780595378,0.1678109076387689,0.05762071818153709,True
111,4.004645366924714,6.211058777030087e-05,0.1036796928946931,0.06117984878072355,0.1999397529672221,0.07090131850508372,True
42,3.923924631645156,8.711800017621684e-05,0.06105252296173148,0.04189993760747457,0.1033474034776976,0.04303118133337329,True
45,3.870110808125451,0.0001087858964642837,0.1045521379100606,0.05861562879815098,0.1913063301112256,0.0706873506280715,True
120,3.807328014019129,0.0001404763683291563,0.02452142096014169,0.01394889421050922,0.05837581330798658,0.01801314444902751,True
126,3.798359043432511,0.0001456572254071742,0.02259827455797467,0.01321224440610959,0.0541484718395871,0.01554072542528419,True
4,3.780421102259276,0.0001565633285571863,0.05499697144785283,0.03531707605055865,0.153597817236814,0.04150108523120762,True
135,3.708669337566336,0.0002083513008972315,0.09277129436960868,0.05482196925400709,0.19403512431967,0.08796766964373194,True
144,3.681762425806483,0.0002316272037068444,0.02444830395906407,0.01252212929582127,0.05297763309777751,0.01559692262573953,True
2,3.681762425806483,0.0002316272037068444,0.2297273827679315,0.180349056093529,0.3158094605353431,0.1799295884884706,True
72,3.672793455219866,0.0002399133937569928,0.03376300240705787,0.02366142794961585,0.07068969848455534,0.02449242809097206,True
138,3.672793455219866,0.0002399133937569928,0.02100930715897139,0.0113694485496792,0.04991652897228539,0.01396602450308173,True
51,3.663824484633249,0.0002484770842991334,0.07449404180241032,0.03434175659669462,0.1496936306861286,0.05288911782438682,True
10,3.654855514046631,0.0002573268567692643,0.04088048325500816,0.02890585888540677,0.0866935796267553,0.02942219082239701,True
141,3.610010661113543,0.0003061844202490991,0.115780939898611,0.06469499964423736,0.2261568376609401,0.114880296511027,True
18,3.610010661113543,0.0003061844202490991,0.02994257225723345,0.01681425913771572,0.06344377144291688,0.02157237713579632,True
132,3.547227867007221,0.0003893077144329898,0.02054868413976985,0.01264906139623403,0.05081846924977178,0.01492555646647031,True
63,3.502383014074133,0.0004611162287042458,0.08983684406268193,0.03538491375432766,0.1878720942238007,0.06336525726223022,True
36,3.484445072900899,0.0004931586720966438,0.06528746249056602,0.04036611076076826,0.1102341516942234,0.04562937207597521,True
33,3.475476102314281,0.0005099474255762248,0.1503152263270772,0.03522479047595886,0.2148749235540941,0.0680405468138295,True
34,-3.466507131727663,0.0005272677469924197,0.05175201435996854,0.8169991429067553,0.2479858806808639,0.6227906907359634,True
114,3.457538161141046,0.0005451350295901164,0.02677326314656483,0.01666429554132107,0.06237785375616822,0.02134387567516209,True
147,3.457538161141046,0.0005451350295901164,0.1141544302964374,0.06684831193965056,0.2293602444318338,0.1208851281759215,True
105,3.448569190554429,0.0005635650633369002,0.07360240293287496,0.05463889210327737,0.1626701827637727,0.05818522820385025,True
30,3.412693308207959,0.0006432428822935487,0.07668060744372412,0.05590985002922817,0.1550149430111487,0.05920598316279575,True
39,3.403724337621341,0.0006647380193324072,0.1129085349561689,0.06458255215243786,0.2219604012885664,0.07885736432530197,True
69,3.385786396448106,0.000709746057876116,0.07028750333277622,0.02888250137337145,0.1807072349238565,0.05131390202856622,True
57,3.358879484688253,0.0007825918856872996,0.08571585988266925,0.04876572553797631,0.1958993815409736,0.0738191125377245,True
27,3.349910514101636,0.0008083767145363984,0.153452971058067,0.04069175116796663,0.2113447597080283,0.07550238667064238,True
48,3.269189778822078,0.001078559347489919,0.05012259097699062,0.03754996568147733,0.1065836292484078,0.03808922762986651,True
150,3.260220808235461,0.001113255086324569,0.02825839320863242,0.0156710285098131,0.05768400203481364,0.01983612956963507,True
15,3.206406984715756,0.001344037488656051,0.2049584779276757,0.11351321105494,0.2559025881575441,0.1637454395372214,True
96,3.161562131782668,0.001569253367915299,0.02491567537403406,0.01386591688084036,0.05768008724498584,0.01753747192767145,True
78,3.107748308262964,0.001885185438661547,0.03642535219050622,0.02416082970385617,0.06865928190296668,0.02624241647177973,True
108,3.098779337676346,0.001943196898986419,0.02810250036436309,0.01884556837971018,0.06330484612643968,0.02232430838442475,True
66,3.080841396503111,0.00206416568518245,0.02920981504436887,0.02076175129907167,0.07273567792780423,0.02339178526694796,True
153,3.080841396503111,0.00206416568518245,0.1278344465277703,0.08153416974922018,0.2503582657199826,0.1424493742040355,True
75,3.035996543570024,0.002397421126306034,0.06176014396433367,0.03939747000004667,0.1670605124797907,0.05828454636750306,True
90,3.027027572983406,0.002469714292547196,0.02526404113646936,0.01453804105312523,0.05786782560077969,0.01795554407177541,True
102,3.018058602396788,0.002543997041552317,0.0262640742275556,0.01794937779018846,0.06071877940222668,0.02016472579580433,True
84,2.946306837703848,0.003215932097506623,0.03099287778397211,0.02050464456351785,0.06299697440750993,0.02221239795411083,True
54,2.856617131837674,0.004281819853279379,0.0464756434724708,0.03718347222557132,0.09073626896943433,0.03778420734996601,True
94,2.843163675957747,0.004466812484562363,0.1376974743788475,0.0,0.4344709130473127,0.1105350331662441,True
99,2.838679190664438,0.00453006761786639,0.05756930379417188,0.04666897638299867,0.1472246508693071,0.05243159040196518,True
21,2.811772278904586,0.004926937111324901,0.04638457541612605,0.02472793640853582,0.1637525566002631,0.06985138389093033,True
156,2.775896396558116,0.005504974734079529,0.03351675737201407,0.02203348457105998,0.06303488376372894,0.02543698553579937,True
60,2.740020514211646,0.006143534970242946,0.03919563556226374,0.02727126083911484,0.07857790025982539,0.03233310682142174,True
81,2.713113602451794,0.006665425179328608,0.07309055075971985,0.05317291555874484,0.1806950294030327,0.07073727046734074,True
